trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
48,False,"{'a': 0.01, 'e': 0.7599999999999998}",20,12,-31.295033550332608,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 0}",1
49,False,"{'a': 0.01, 'e': 0.7549999999999998}",30,0,-67.78243530106022,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
50,False,"{'a': 0.01, 'e': 0.7499999999999998}",25,0,-104.61733811846523,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
51,False,"{'a': 0.01, 'e': 0.7449999999999998}",30,0,-175.52083925487898,"{0: 16, 1: 3, 2: 8, 3: 1, 4: 2}",0
52,False,"{'a': 0.01, 'e': 0.7399999999999998}",20,0,-61.06564733352427,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
53,False,"{'a': 0.01, 'e': 0.7349999999999998}",25,0,-124.66824401330904,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
54,False,"{'a': 0.01, 'e': 0.7299999999999998}",20,0,-102.4561006204798,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
55,False,"{'a': 0.01, 'e': 0.7249999999999998}",20,4,-23.05163109383299,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 0}",1
56,False,"{'a': 0.01, 'e': 0.7199999999999998}",25,8,-29.76787182543023,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 0}",1
57,False,"{'a': 0.01, 'e': 0.7149999999999997}",30,0,-50.34300978981772,"{0: 20, 1: 3, 2: 7, 3: 0, 4: 0}",1
58,False,"{'a': 0.01, 'e': 0.7099999999999997}",20,0,-38.9051639643481,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
59,False,"{'a': 0.01, 'e': 0.7049999999999997}",20,10,6.114454307587894,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
